 , y 
-0.001259819,879
-0.006363656,880
-0.001259819,881
0.005984383,882
0.003727758,883
-0.004829599,884
-0.006041009,885
0.002833588,886
0.008096084,887
1.79E-04,888
-0.009779351,889
-0.004690223,890
0.010915805,891
0.012264694,892
-0.010907649,893
-0.030776504,894
9.92E-04,895
0.5,896
0.999008173,897
1.030776504,898
1.010907649,899
0.987735306,900
0.989084195,901
1.004690223,902
1.009779351,903
0.999820719,904
0.991903916,905
0.997166412,906
1.006041009,907
1.004829599,908
0.996272242,909
0.994015617,910
1.001259819,911
1.006363656,912
1.001259819,913
0.994015617,914
0.996272242,915
1.004829599,916
1.006041009,917
0.997166412,918
0.991903916,919
0.999820719,920
1.009779351,921
1.004690223,922
0.989084195,923
0.987735306,924
1.010907649,925
1.030776504,926
0.999008173,927
0.5,928
9.92E-04,929
-0.030776504,930
-0.010907649,931
0.012264694,932
0.010915805,933
-0.004690223,934
-0.009779351,935
1.79E-04,936
0.008096084,937
0.002833588,938
-0.006041009,939
-0.004829599,940
0.003727758,941
0.005984383,942
-0.001259819,943
-0.006363656,944
-0.001259819,945
0.005984383,946
0.003727758,947
-0.004829599,948
-0.006041009,949
0.002833588,950
0.008096084,951
1.79E-04,952
-0.009779351,953
-0.004690223,954
0.010915805,955
0.012264694,956
-0.010907649,957
-0.030776504,958
9.92E-04,959
0.5,960
0.999008173,961
1.030776504,962
1.010907649,963
0.987735306,964
0.989084195,965
1.004690223,966
1.009779351,967
0.999820719,968
0.991903916,969
0.997166412,970
1.006041009,971
1.004829599,972
0.996272242,973
0.994015617,974
1.001259819,975
1.006363656,976
1.001259819,977
0.994015617,978
0.996272242,979
1.004829599,980
1.006041009,981
0.997166412,982
0.991903916,983
0.999820719,984
1.009779351,985
1.004690223,986
0.989084195,987
0.987735306,988
1.010907649,989
1.030776504,990
0.999008173,991
0.5,992
9.92E-04,993
-0.030776504,994
-0.010907649,995
0.012264694,996
0.010915805,997
-0.004690223,998
-0.009779351,999
